pref,year,emp.rate,cap.rate,age,age.hus,emp.rate.hus,urate,nuc.rate,numhh,hh.type
青森県,1990,0.560957367,0.363190506,31.13578568,34.09747059,0.982321344,0.044869305,0.564962781,29414,3ge
岩手県,1990,0.682775713,0.261866512,31.46303181,34.32183141,0.991103486,0.026278864,0.496609955,31473,3ge
宮城県,1990,0.640149314,0.132799058,31.28941839,34.07888149,0.99148375,0.027302886,0.579067535,44738,3ge
秋田県,1990,0.693508218,0.268256294,31.25950523,34.0801926,0.99269467,0.027171728,0.414471143,30115,3ge
山形県,1990,0.80176428,0.222824653,31.35094164,34.16176014,0.995860927,0.017453505,0.320299515,38656,3ge
福島県,1990,0.699336829,0.152795688,31.42223165,34.12715916,0.993618908,0.024239838,0.485892308,51872,3ge
茨城県,1990,0.524660106,0.179772714,31.39786108,34.22908015,0.991106813,0.023773701,0.604518347,52737,3ge
栃木県,1990,0.514462968,0.19369881,31.61244862,34.37317777,0.992825959,0.022647601,0.574556639,39169,3ge
群馬県,1990,0.441685478,0.275512438,31.95642087,34.71413343,0.99187986,0.024601383,0.6395875,31896,3ge
埼玉県,1990,0.36058481,0.14565279,32.01737061,34.97777206,0.990188825,0.026742109,0.787490737,62174,3ge
千葉県,1990,0.458041653,0.18696395,31.74652166,34.72410663,0.989839918,0.026568948,0.770702641,57283,3ge
東京都,1990,0.346552518,0.250915655,32.91580928,36.31011978,0.984413391,0.030957403,0.882264496,52096,3ge
神奈川県,1990,0.299590229,0.128101716,32.44637174,35.64298218,0.988900382,0.029682621,0.856422249,50272,3ge
新潟県,1990,0.713618317,0.400573578,31.57619146,34.32337325,0.995200663,0.020190572,0.427348567,62717,3ge
富山県,1990,0.671197213,0.421816918,30.81905892,33.97940197,0.995214212,0.019920647,0.430388249,26119,3ge
石川県,1990,0.704956449,0.496571198,30.77304682,34.09687403,0.994296326,0.022517417,0.552868909,22617,3ge
福井県,1990,0.732918389,0.408975879,30.97881927,34.15407125,0.995215755,0.018869808,0.435718184,21529,3ge
山梨県,1990,0.489554592,0.361824781,32.25587965,35.33169097,0.993693339,0.02419682,0.602221935,15222,3ge
長野県,1990,0.538485748,0.435805094,32.22907113,35.28826095,0.995189282,0.017282248,0.526793718,44484,3ge
岐阜県,1990,0.449481689,0.322973184,31.12056946,34.4055045,0.994862161,0.020243151,0.519546571,44182,3ge
静岡県,1990,0.43372596,0.189048293,31.50539253,34.54596072,0.993467586,0.023608303,0.590822508,68428,3ge
愛知県,1990,0.39661719,0.314661271,31.13882177,34.45299735,0.992474974,0.024545965,0.717168121,86910,3ge
三重県,1990,0.447877554,0.334353782,30.79096926,34.01934704,0.991058359,0.02595181,0.6053334,31426,3ge
滋賀県,1990,0.503338769,0.248424529,31.35689883,34.66363848,0.993400109,0.021560643,0.574525435,25758,3ge
京都府,1990,0.440882581,0.312864249,32.19209593,35.45854235,0.984583384,0.028488885,0.771826772,24519,3ge
大阪府,1990,0.302021356,0.205981042,31.87263092,35.0771504,0.981165531,0.042339717,0.861586818,50758,3ge
兵庫県,1990,0.392145465,0.199859591,31.76639843,34.99395106,0.986993878,0.03332653,0.768961426,55051,3ge
